_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
188,Castillian Hot Chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee mug,Cocoa Powder,Sugar,Cornstarch,Water,Milk,,,,,,,,1/2 cup,1 cup,7 tsp,1/2 cup,1 qt,,,,,,,,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.","[""Cocoa Powder"", ""Sugar"", ""Cornstarch"", ""Water"", ""Milk""]"
189,Champagne Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne flute,Champagne,Sugar,Bitters,Lemon Peel,Cognac,,,,,,,,Chilled,1 piece,2 dashes,1 twist of,1 dash,,,,,,,,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,"[""Champagne"", ""Sugar"", ""Bitters"", ""Lemon Peel"", ""Cognac""]"
190,Cherry Electric Lemonade,,Cocktail,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint glass,Gin,Tequila,Vodka,White Rum,Triple Sec,Cherry Grenadine,Sweet And Sour,Club Soda,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,"[""Gin"", ""Tequila"", ""Vodka"", ""White Rum"", ""Triple Sec"", ""Cherry Grenadine"", ""Sweet And Sour"", ""Club Soda""]"
191,Cherry Rum,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail glass,Light Rum,Cherry Brandy,Light Cream,,,,,,,,,,1 1/4 oz,1 1/2 tsp,1 tblsp,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Light Rum"", ""Cherry Brandy"", ""Light Cream""]"
192,Chicago Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball glass,Light Rum,Port,Lemon,Powdered Sugar,Egg White,Carbonated Water,,,,,,,1 oz,1 oz,Juice of 1/2,1 tsp,1,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","[""Light Rum"", ""Port"", ""Lemon"", ""Powdered Sugar"", ""Egg White"", ""Carbonated Water""]"
193,Chocolate Beverage,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee mug,Milk,Chocolate,Cinnamon,Egg,,,,,,,,,6 cups,3 oz Mexican,1 tsp powdered,3,,,,,,,,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.","[""Milk"", ""Chocolate"", ""Cinnamon"", ""Egg""]"
194,Chocolate Black Russian,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne flute,Kahlua,Vodka,Chocolate Ice-Cream,,,,,,,,,,1 oz,1/2 oz,5 oz,,,,,,,,,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,"[""Kahlua"", ""Vodka"", ""Chocolate Ice-Cream""]"
195,Chocolate Drink,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee mug,Chocolate,Milk,Water,,,,,,,,,,125 gr,3/4 L,,,,,,,,,,,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.","[""Chocolate"", ""Milk"", ""Water""]"
196,Chocolate Milk,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,Chocolate Liqueur,Milk,Amaretto,,,,,,,,,,1/2 shot,1/2 shot,1 dash,,,,,,,,,,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!","[""Chocolate Liqueur"", ""Milk"", ""Amaretto""]"
197,Chocolate Monkey,Optional alcohol,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Parfait glass,Banana Liqueur,Creme De Cacao,Chocolate Ice-Cream,Chocolate Syrup,Chocolate Milk,Whipped Cream,Cherry,Banana,,,,,1 shot,2 shots,2 scoops,1 oz,4 oz,1,1,1 piece,,,,,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.","[""Banana Liqueur"", ""Creme De Cacao"", ""Chocolate Ice-Cream"", ""Chocolate Syrup"", ""Chocolate Milk"", ""Whipped Cream"", ""Cherry"", ""Banana""]"
198,Citrus Coke,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,Bacardi Limon,Coca-Cola,,,,,,,,,,,1 part,2 parts,,,,,,,,,,,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,"[""Bacardi Limon"", ""Coca-Cola""]"
199,City Slicker,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Cocktail glass,Brandy,Triple Sec,Lemon Juice,,,,,,,,,,2 oz,1/2 oz,1 tblsp,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","[""Brandy"", ""Triple Sec"", ""Lemon Juice""]"
200,Classic Old-Fashioned,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Old-fashioned glass,Bitters,Water,Sugar,Bourbon,Orange,Maraschino Cherry,,,,,,,3 dashes,1 tsp,1,3 oz,1,1,,,,,,,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.","[""Bitters"", ""Water"", ""Sugar"", ""Bourbon"", ""Orange"", ""Maraschino Cherry""]"
201,Clove Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Cocktail glass,Sweet Vermouth,Sloe Gin,Wine,,,,,,,,,,1 oz,1/2 oz,1/2 oz Muscatel,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","[""Sweet Vermouth"", ""Sloe Gin"", ""Wine""]"
202,Clover Club,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail glass,Gin,Grenadine,Lemon,Egg White,,,,,,,,,1 1/2 oz,2 tsp,Juice of 1/2,1,,,,,,,,,"Dry shake ingredients to emulsify, add ice, shake and served straight up.","[""Gin"", ""Grenadine"", ""Lemon"", ""Egg White""]"
203,Coffee Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Collins Glass,Coffee,Vanilla Extract,Sugar,Vodka,Water,,,,,,,,10 tblsp instant,4 tblsp,2 1/2 cups,1 qt,2 1/2 cups,,,,,,,,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.","[""Coffee"", ""Vanilla Extract"", ""Sugar"", ""Vodka"", ""Water""]"
204,Coffee-Vodka,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Collins Glass,Water,Sugar,Coffee,Vanilla,Vodka,Caramel Coloring,,,,,,,2 cups,2 cups white,1/2 cup instant,2-Jan,1 1/2 cup,,,,,,,,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.","[""Water"", ""Sugar"", ""Coffee"", ""Vanilla"", ""Vodka"", ""Caramel Coloring""]"
205,Coke and Drops,Non alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Cocktail glass,Coca-Cola,Lemon Juice,,,,,,,,,,,1 dl,7 drops,,,,,,,,,,,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.","[""Coca-Cola"", ""Lemon Juice""]"
206,Cosmopolitan,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Cocktail glass,Absolut Citron,Lime Juice,Cointreau,Cranberry Juice,,,,,,,,,1 1/4 oz,1/4 oz,1/4 oz,1/4 cup,,,,,,,,,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,"[""Absolut Citron"", ""Lime Juice"", ""Cointreau"", ""Cranberry Juice""]"
207,Cosmopolitan Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,Cocktail Glass,Cointreau,Vodka,Lime,Cranberry Juice,,,,,,,,,1/2 oz,1 oz,Juice of 1/2,1 splash,,,,,,,,,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.","[""Cointreau"", ""Vodka"", ""Lime"", ""Cranberry Juice""]"
208,Cranberry Cordial,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg,Collins Glass,Cranberries,Sugar,Light Rum,,,,,,,,,,1/2 kg chopped,3/4 L,1/2 L,,,,,,,,,,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks.","[""Cranberries"", ""Sugar"", ""Light Rum""]"
209,Cranberry Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,Punch Bowl,Cranberry Juice,Sugar,Pineapple Juice,Almond Flavoring,Ginger Ale,,,,,,,,4 cups,1 1/2 cup,4 cups,1 tblsp,2 qt,,,,,,,,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.","[""Cranberry Juice"", ""Sugar"", ""Pineapple Juice"", ""Almond Flavoring"", ""Ginger Ale""]"
210,Cream Soda,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Highball glass,Spiced Rum,Ginger Ale,,,,,,,,,,,1 oz,,,,,,,,,,,,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,"[""Spiced Rum"", ""Ginger Ale""]"
211,Creme de Menthe,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Collins Glass,Sugar,Water,Grain Alcohol,Peppermint Extract,Food Coloring,,,,,,,,8 cups,6 cups,1 pint,1 oz pure,1 tblsp green,,,,,,,,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.,"[""Sugar"", ""Water"", ""Grain Alcohol"", ""Peppermint Extract"", ""Food Coloring""]"
212,Cuba Libra,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Highball glass,Dark Rum,Lime,Coca-Cola,Ice,,,,,,,,,1-2 shot,Squeeze,Fill with,,,,,,,,,,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,"[""Dark Rum"", ""Lime"", ""Coca-Cola"", ""Ice""]"
213,Cuba Libre,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Highball glass,Light Rum,Lime,Coca-Cola,,,,,,,,,,2 oz,Juice of 1/2,,,,,,,,,,,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,"[""Light Rum"", ""Lime"", ""Coca-Cola""]"
214,Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg,Cocktail glass,Light Rum,Lime,Powdered Sugar,,,,,,,,,,1 1/2 oz,Juice of 1/2,1 tsp,,,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"[""Light Rum"", ""Lime"", ""Powdered Sugar""]"
215,Damned if you do,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,Shot glass,Whiskey,Hot Damn,,,,,,,,,,,0.75 oz,0.25 oz,,,,,,,,,,,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,"[""Whiskey"", ""Hot Damn""]"
216,Danbooka,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,Coffee Mug,Coffee,Everclear,,,,,,,,,,,3 parts,1 part,,,,,,,,,,,pour it in and mix it.,"[""Coffee"", ""Everclear""]"
217,Dark Caipirinha,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,Highball glass,Demerara Sugar,Lime,Cachaca,,,,,,,,,,2 tsp,1,2 1/2 oz,,,,,,,,,,Muddle the sugar into the lime wedges in an old-fashioned glass.\nFill the glass with ice cubes.\nPour the cachaca into the glass.\nStir well.,"[""Demerara Sugar"", ""Lime"", ""Cachaca""]"
218,Dark and Stormy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,Highball glass,Dark Rum,Ginger Beer,,,,,,,,,,,5 cl,10 cl,,,,,,,,,,,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,"[""Dark Rum"", ""Ginger Beer""]"
219,Darkwood Sling,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,Cocktail glass,Cherry Heering,Soda Water,Orange Juice,Ice,,,,,,,,,1 part,1 part,1 part,cubes,,,,,,,,,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.","[""Cherry Heering"", ""Soda Water"", ""Orange Juice"", ""Ice""]"
220,Derby,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/i502ra1504349156.jpg,Cocktail glass,Gin,Peach Bitters,Mint,,,,,,,,,,6 cl,2 dashes,2 Fresh leaves,,,,,,,,,,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,"[""Gin"", ""Peach Bitters"", ""Mint""]"
221,Diesel,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,Pint glass,Lager,Cider,Blackcurrant Cordial,,,,,,,,,,1/2 pint,1/2 pint,1 dash,,,,,,,,,,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,"[""Lager"", ""Cider"", ""Blackcurrant Cordial""]"
222,Dirty Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Cocktail glass,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.\nRub the rim of a martini glass with the wedge of lemon.\nStrain the contents of the cocktail shaker into the glass and add the olive.\nA dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.","[""Vodka"", ""Dry Vermouth"", ""Olive Brine"", ""Lemon"", ""Olive""]"
223,Dirty Nipple,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,Shot glass,Kahlua,Sambuca,Bailey'S Irish Cream,,,,,,,,,,,,,,,,,,,,,,This is a layered shot - the Bailey's must be on top,"[""Kahlua"", ""Sambuca"", ""Bailey'S Irish Cream""]"
224,Downshift,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,Hurricane glass,Fruit Punch,Sprite,Tequila,151 Proof Rum,,,,,,,,,2 part,1 part,2 shots,Float Bacardi,,,,,,,,,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.","[""Fruit Punch"", ""Sprite"", ""Tequila"", ""151 Proof Rum""]"
225,Dragonfly,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lnvbip1504389100.jpg,Highball glass,Gin,Ginger Ale,Lime,,,,,,,,,,1 1/2 oz,4 oz,1,,,,,,,,,,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.","[""Gin"", ""Ginger Ale"", ""Lime""]"
226,Drinking Chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,Coffee mug,Heavy Cream,Milk,Cinnamon,Vanilla,Chocolate,Whipped Cream,,,,,,,2 oz,6-8 oz,1 stick,1,2 oz finely chopped dark,Fresh,,,,,,,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.","[""Heavy Cream"", ""Milk"", ""Cinnamon"", ""Vanilla"", ""Chocolate"", ""Whipped Cream""]"
227,Dry Rob Roy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,Cocktail glass,Scotch,Dry Vermouth,Lemon Peel,,,,,,,,,,2 1/2 oz,1 1/2 tsp,1 twist of,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.","[""Scotch"", ""Dry Vermouth"", ""Lemon Peel""]"
228,Dubonnet Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xxsuwr1439457147.jpg,Cocktail glass,Dubonnet Rouge,Gin,Bitters,Lemon Peel,,,,,,,,,1 1/2 oz,3/4 oz,1 dash,1 twist of,,,,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"[""Dubonnet Rouge"", ""Gin"", ""Bitters"", ""Lemon Peel""]"
229,Duchamp's Punch,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,Old-fashioned glass,Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,,,,5 cl,2.5 cl,2.5 cl,1.5 cl,2 Dashes,Pinch,2 sprigs,,,,,,Shake all ingredients.\nDouble strain in a chilled double old fashioned glass with abig ice cube.\nGarnish with a couple of lavender sprigs,"[""Pisco"", ""Lime Juice"", ""Pineapple Syrup"", ""St. Germain"", ""Angostura Bitters"", ""Pepper"", ""Lavender""]"
230,Egg Cream,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,Coffee mug,Chocolate Syrup,Milk,Soda Water,,,,,,,,,,2 tblsp,6 oz whole,6 oz,,,,,,,,,,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.","[""Chocolate Syrup"", ""Milk"", ""Soda Water""]"
231,Egg Nog #4,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,Punch bowl,Egg Yolk,Sugar,Milk,Light Rum,Bourbon,Vanilla Extract,Salt,Whipping Cream,Egg White,Sugar,Nutmeg,,6,1/4 cup,2 cups,1/2 cup,1/2 cup,1 tsp,1/4 tsp,1 cup,6,1/4 cup,Ground,,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.","[""Egg Yolk"", ""Sugar"", ""Milk"", ""Light Rum"", ""Bourbon"", ""Vanilla Extract"", ""Salt"", ""Whipping Cream"", ""Egg White"", ""Sugar"", ""Nutmeg""]"
232,Egg Nog - Healthy,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,Collins Glass,Egg,Sugar,Condensed Milk,Milk,Vanilla Extract,Rum,Nutmeg,,,,,,1/2 cup,3 tblsp,13 oz skimmed,3/4 cup skimmed,1 tsp,1 tsp,,,,,,,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.","[""Egg"", ""Sugar"", ""Condensed Milk"", ""Milk"", ""Vanilla Extract"", ""Rum"", ""Nutmeg""]"
233,Egg-Nog - Classic Cooked,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,Pitcher,Egg,Sugar,Salt,Milk,Vanilla Extract,,,,,,,,6,1/4 cup,1/4 tsp,1 qt,1 tsp,,,,,,,,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.","[""Egg"", ""Sugar"", ""Salt"", ""Milk"", ""Vanilla Extract""]"
